Section ID,Category Name,Section Style Name,Description & Layout Hierarchy,Background Elements,Typography & Spacing Specs,Motion & Animation Mechanics,Helpful Tags & Comments,Sample Sections / Use Cases
HERO-01,Hero Sections,Aurora Glow Floating App Hero,Centered text stack dropping into an overflowing web application browser mockup frame.,"Radial gradient blend of lavender `#DCD6FF`, violet `#E6E2FF`, and white. Concentrated color density.",Main title 64px extra-bold line-height 1.15. Sub-headline 16px slate max-width 680px. CTA button group gap 16px.,Ambient glow mesh cycles scale/rotation over 20s. Application browser mockup panel floats vertically 8px over 6s loop.,"hero-section, aurora-glow, saas-mockup, centered-hero",SaaS Main Landing Page Heroes, core digital product overviews.
HERO-02,Hero Sections,Isomorphic Tech Flow Blueprint Hero,Technical SaaS landing hero displaying automation logic streams over an engineering blueprint layer.,Clean stark white canvas sheet overlaid with a faint blue isometric micro-dot grid pattern `#E2E8F0`.,Main title H1 text 60px technical sans-serif. Blue phrase tracking highlight layer `#2563EB`. Input placeholder text 15px.,Logic schematic dashed layout paths execute continuous automated SVG dash-offset texturing flow animations.,"isometric-hero, tech-blueprint, saas-landing, workflow-visualization",AI tech landing heroes, automation platform product walk-through overviews.
HERO-03,Hero Sections,Radiant Gaming Hub Platform Hero,Modern gaming landing hero built around a central geometric network connection map and warm peach gradients.,Radial gradient mesh moving peach coral `#FF9F7D` outer parameters into bright white core folds.,Headline text 56px bold tracking. Inline brand circles diameter 32px embedded inside rows.,Concentric logic pipeline paths illuminate neon pulses sequentially outward from center node keys to outer hexagons.,"gaming-hero, glowing-gradient, integrated-icons, community-hub",Web3/Gaming dashboard landing pages, community network hubs.
HERO-04,Hero Sections,Web3 Neo-Glow Metrics Hero,Advanced infrastructure landing hero stacking a search input engine above an analytics dashboard bento.,Light gray sheet canvas `#F3F4F6` layered with infinite technical engineering line grid arrays.,Core title text 54px, email input input widget width 480px. Dashboard internal numbers 28px.,Dashboard trend lines execute automated SVG path stroke stroke-dasharray paint animation sweeps on load visibility.,"neo-grid, bento-metrics, input-hero, web3-tech",Web3 main hero dashboards, technical protocol network analytics platforms.
HERO-05,Hero Sections,Dark Cinematic Typography Hero,Dark atmospheric creative agency hero layering giant center title overlays over absolute corner text lists.,Deep black canvas hosting center portrait artwork scene (cloaked red figure) with blurred texture washes.,Center uppercase display headline text 88px bold. Corner category text blocks inside brackets.,Background cinematic graphic art panel executes scroll parallax speed interpolation while title entry scales upward.,"cinematic-hero, dark-mode, editorial-typography, high-contrast",Creative agency main heroes, premium fashion landings, brand portfolios.
HERO-06,Hero Sections,Organic Clean-Tech Horizon Hero,Inset curved display card hero mapping large environment imagery underneath user bar layers.,Stark white outer canvas frame enclosing an inner display card module built with deep rounded bounds 32px.,Inner headline text 62px bold white text. Paragraph description width constraint 520px. CTA button group row gap 12px.,Background airliner flight photo layer shifts lighting channels via automated gradient map lighting sweep loops.,"clean-tech, curved-frame, environmental-tech, centered-stack",Sustainable enterprise hero landing pages, modern transit corporation interfaces.
HERO-07,Hero Sections,Fan-Out Tilted Graphic Card Hero,High-impact dark studio hero section anchoring a progress fanned-out deck of tilted image cards past the fold.,Pristine uniform matte black sheet canvas framework #0Black bounds.,Main display headline 64px, line-height 1.1. Top capsule navigation bar holds mint green CTA button.,Hovering card deck smoothly reduces individual rotation angles toward 0 while dynamically increasing row layout spacing.,"fanned-cards, tilted-ui, centered-typography, dark-mode-hero",Principal landing heroes for creative digital studios, design portfolios, or tech agency indices.
HERO-08,Hero Sections,Editorial Column Vertical Splitting,Sleek high-key learning hero pathway distributing entry streams across tall, vertically elongated rounded columns.,Solid pristine white sheet layout canvas layer #FFFFFF.,Left display text 64px bold black sans-serif. Inset input field with green action tile.,Hovering vertical column strips smoothly expands width flex-grow: 3, cross-fading vertical text keys into horizontal layout.,"vertical-accordion-grid, editorial-columns, input-hero, staggered-typography",Main educational academy heroes, e-commerce division matrices, platform entry portals.
HERO-09,Hero Sections,Ultra-Clean Product Showcase Hero,High-end editorial showcase layout featuring large central product graphic breaking bottom borders.,Clean off-white canvas sheet #F6F6F6 utilizing an inset border card layer framing configuration.,Main display text 56px-68px sans-serif italic variants. Left block description 15px.,Scroll-driven parallax translations shift the central dark hardware puck icon faster than page canvas rules.,"editorial-layout, asymmetrical, product-showcase, minimalist-tech",E-commerce hardware landing pages, premium consumer tech heroes.
HERO-10,Hero Sections,Asymmetrical Organic Split Hero,Creative landing hero splitting a blue vector line scene from a white text layout via curved wave borders.,Split canvas base: upper 60% electric blue #2B66FF, lower 40% white page sheet canvas matrix.,Blue field display title text 56px white text layers. White field data headers 20px bold.,Illustration character paths trace out vector design rules on load visibility via automated SVG dash-offset sweep loops.,"organic-split, color-block-wave, vector-illustration, editorial-hero",Corporate career main pages, creative agency landing heroes, brand index folds.
HERO-11,Hero Sections,Handheld Device Mockup Hero,Elite landing hero centering a handheld smartphone mockup tracking live video over a blue-sky radial gradient wash.,Soft, light-blue wash gradient backdrop field canvas layer. Mockup smartphone frame absolute.,Main display layout 58px white text layers. Description copy regular regular tracking rules.,Move gestures or page scroll sequences trigger independent horizontal and vertical translation float offsets across handheld.,"handheld-device-mockup, saas-conversion-hero, radial-gradient-wash, medical",Principal landing pages for medical applications, health-tech protocol software.
HERO-12,Hero Sections,Flagship SaaS Platform Blue-Sky Hero,Technology landing hero centering an umbrella arch mockup window over a blue-sky cloud layer base.,High-fidelity photographic canvas displaying bright white cumulus cloud banks fading into blue sky washes.,Main headline 56px, dual-colored linear text gradient fill layer 'Create CustomGPTs'.,On initial viewport visibility, third-party icons animate sequentially outward from apex node down left and right paths.,"blue-sky-hero, integration-umbrella-arch, concentric-logo-bridge, saas",Principal landing heroes for cloud automation tools, software integration hubs.
HERO-13,Hero Sections,Luxury Balanced Showcase Hero,Premium watch landing hero layering a vertical brand marquee behind a giant 3D mechanics skeleton sports watch asset.,Full-bleed clean canvas base layer showing ultra-soft periwinkle radial gradient wash margins.,Main headline 58px bold, vertical script typography design layer 'Hublot' text.,Central 3D skeleton watch asset executes a continuous slow-duration automated rotation animation loop on center axes.,"luxury-showcase, 3d-hardware-render, watermark-sidebar, premium-landing",Flagship luxury product heroes, premium consumer tech landing overviews, catalogs.
